提供機關名稱,資料集名稱,瀏覽次數,下載次數,資料集評分,上架日期
財政部財政人員訓練所,財政部財政人員訓練所費率計價標準,833,31,100,2015/12/07
技術處,總統創新獎得獎專輯,"1,020",115,100,2015/10/05
臺灣臺東地方法院,"臺灣臺東地方法院104年度9月份會計報告 (XML檔)",733,10,,2015/10/02
考選部,104年9月份考選部考選業務基金會計月報,958,113,,2015/10/02
國家發展委員會,創業拔萃方案,806,87,,2015/10/04
國家發展委員會,中長期資金運用與推動情形,839,163,20,2015/10/04
國家發展委員會,自由經濟示範區規劃方案(修正案),977,45,20,2015/10/04
國家發展委員會,行政院列管案件進度季(年)報,837,91,,2015/11/06
國家發展委員會,行政院管制計畫實地查證報告,744,40,,2015/11/11
國家發展委員會,行政院管制計畫評核報告,"1,128",88,,2015/10/26
國家發展委員會,國營事業年度工作考成總報告,974,187,,2015/11/06
國家發展委員會,國家發展委員會委員會決議,958,233,,2015/10/04
國家發展委員會,國家發展委員會大事紀,"1,478",398,,2015/10/04
國家發展委員會,國家發展委員會重要統計資料,"1,986",668,,2015/10/04
國家發展委員會,國家發展委員會新聞稿,"1,533",86,,2015/10/04
國家發展委員會,政府入口網-安全專題,959,64,,2015/10/04
國家發展委員會,國家發展委員會招標資訊,"1,042",287,20,2015/11/06
國家發展委員會,10大類民生商品電子發票價格資訊,"1,757",369,,2015/11/06
內政部建築研究所,內政部建築研究所性能實驗中心檢測服務試驗報告書一覽表,668,37,,2015/10/05
臺灣臺南地方法院,104年09月臺灣臺南地方法院會計報告,"1,094",24,,2015/10/05
考選部,考選部104年度9月份會計報告,820,225,,2015/10/06
經濟部貿易調查委員會,中國石油化學工業開發股份有限公司申請對自美國、日本及韓國進口之丙烯腈課徵反傾銷稅暨臨時課徵反傾銷稅並依法追溯課徵案產業損害初步調查公開資料,797,13,,2015/11/09
經濟部貿易調查委員會,中華民國台灣半導體產業協會申請對自美國進口之動態隨機存取記憶體課徵反傾銷稅暨臨時反傾銷稅案產業損害初步調查公開資料,549,13,,2015/11/09
中華郵政股份有限公司,紀念戳圖,903,70,,2016/08/22
臺灣高等法院花蓮分院,臺灣高等法院花蓮分院104年度9月份會計月報,759,19,,2015/10/06
法務部會計處,法務部矯正機關作業基金決算(按年),954,329,,2015/10/08
經濟部貿易調查委員會,中華民國台灣半導體產業協會申請對自美國進口之動態隨機存取記憶體課徵反傾銷稅暨臨時反傾銷稅案產業損害最後調查公開資料,619,14,,2015/11/09
經濟部貿易調查委員會,亞洲水泥、台灣水泥、幸福水泥、信大水泥及中國力霸等股份有限公司申請對自菲律賓及韓國進口卜特蘭水泥及熟料課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,690,23,,2015/11/09
經濟部貿易調查委員會,亞洲水泥、台灣水泥、幸福水泥、信大水泥及中國力霸等股份有限公司申請對自菲律賓及韓國進口卜特蘭水泥及熟料課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害最後調查公開資料,"1,213",27,,2015/11/09
經濟部貿易調查委員會,利商股份有限公司申請停止對日本進口Ｈ型鋼課徵反傾銷稅案產業損害調查公開資料,703,15,,2015/11/09
經濟部貿易調查委員會,台灣區造紙工業同業公會申請對自日本、中國及印尼進口非塗佈紙課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,593,12,,2015/11/09
經濟部貿易調查委員會,台灣區造紙工業同業公會申請對自日本、中國及印尼進口非塗佈紙課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害最後調查公開資料,518,14,,2015/11/09
經濟部貿易調查委員會,台灣區造紙工業同業公會申請對自日本及印尼進口之銅版紙課徵反傾銷稅暨臨時反傾銷稅案產業損害最後調查公開資料,562,10,,2015/11/09
經濟部貿易調查委員會,台灣區造紙工業同業公會申請對自日本進口之銅版紙課徵反傾銷稅屆滿5年後繼續課徵案產業損害調查公開資料,547,13,,2015/11/09
經濟部貿易調查委員會,台灣區鋼線鋼纜工業同業公會申請對自南韓、泰國及馬來西亞進口預力鋼絞線課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,539,9,,2015/11/09
經濟部貿易調查委員會,台灣區鋼線鋼纜工業同業公會申請對自南韓、泰國及馬來西亞進口預力鋼絞線課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害最後調查公開資料,529,16,,2015/11/09
經濟部貿易調查委員會,台灣區鋼線鋼纜工業同業公會申請對自印尼進口預力鋼絞線課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,483,13,,2015/11/09
經濟部貿易調查委員會,台灣區鋼鐵工業同業公會申請對自巴西、烏克蘭、俄羅斯之進口鋼板課徵反傾銷稅暨臨時反傾銷稅並依法追溯課徵案產業損害初步調查公開資料,780,15,,2015/11/09
經濟部貿易調查委員會,台灣區鋼鐵工業同業公會申請對自巴西、烏克蘭、俄羅斯之進口鋼板課徵反傾銷稅暨臨時反傾銷稅並依法追溯課徵案產業損害最後調查公開資,647,17,,2015/11/09
經濟部貿易調查委員會,台灣製鞋品發展協會、台北縣鞋類商業同業公會、台南市皮革製品商業同業公會申請對自中國進口鞋靴課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,"1,391",26,,2015/11/09
經濟部貿易調查委員會,合一紙業有限公司申請停止對日本進口銅版紙課徵反傾銷稅案產業損害調查公開資料,574,12,,2015/11/09
經濟部貿易調查委員會,對自中國大陸進口之毛巾產品臨時課徵反傾銷稅暨課徵反傾銷稅案產業損害初步調查公開資料,651,16,,2015/11/09
經濟部貿易調查委員會,對自中國大陸進口之毛巾產品臨時課徵反傾銷稅暨課徵反傾銷稅案產業損害最後調查公開資料,559,16,,2015/11/09
經濟部貿易調查委員會,東和鋼鐵企業股份有限公司申請對自日本進口之Ｈ型鋼課徵反傾銷稅屆滿五年後繼續課徵案產業損害調查公開資料,465,15,,2015/11/09
經濟部貿易調查委員會,東和鋼鐵企業股份有限公司申請對自波蘭、俄羅斯及韓國進口之Ｈ型鋼課徵反傾銷稅屆滿五年後繼續課徵案產業損害調查公開資料,664,18,,2015/11/09
經濟部貿易調查委員會,燁聯鋼鐵股份有限公司申請對自德國及義大利進口熱軋不銹鋼捲課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,586,16,,2015/11/09
臺灣宜蘭地方法院,臺灣宜蘭地方法院104年度9月份會計月報,857,23,,2015/10/06
法務部法律事務司,法務部編印「信託法令解釋及裁判要旨彙編」,"2,166","1,134",40,2015/10/14
法務部廉政署,法務部廉政署105年度至106年度會計報告(XML)(按月),"1,174",817,,2015/10/08
法務部法律事務司,行政程序法裁判要旨彙編(四),"1,119",231,,2015/10/14
法務部矯正署,矯正署彰化少年觀護所104年會計報告(按月),825,217,,2015/10/12
法務部法律事務司,行政程序法裁判要旨彙編(五),928,207,,2015/10/14
法務部矯正署,矯正署彰化看守所104年會計報告(按月),745,227,,2015/10/12
法務部廉政署,中央廉政委員會會議資料(歷次),"1,172",447,,2015/10/08
法務部廉政署,法務部廉政署廉政紀事(按年),702,64,,2015/10/08
法務部廉政署,法務部廉政署法定預算書(按年),933,189,,2015/10/08
法務部法制司,兩公約初次國家人權報告(2012),896,311,,2015/10/14
法務部廉政署,法務部廉政署單位決算書(按年),818,80,100,2015/10/08
法務部廉政署,法務部廉政署廉政審查會議紀錄(歷次),839,321,,2015/10/08
法務部廉政署,法務部廉政署辦理行政肅貪案件成果(按季),"1,009",369,,2015/10/08
法務部綜合規劃司,法務部施政績效(歷年),731,37,,2015/10/07
法務部法律事務司,政府資訊公開法裁判彙編,624,136,,2015/10/14
法務部法律事務司,政府資訊公開法問答暨解釋彙編,"1,742",239,20,2015/10/14
法務部綜合規劃司,法務部向監察院所提工作報告(歷年),707,50,,2015/10/07
法務部綜合規劃司,法務部向立法院所提業務報告(歷年),747,65,,2015/10/07
法務部法制司,兩公約學習地圖講義,957,154,,2015/10/14
法務部法制司,兩公約法務部講習會各論講義,710,36,,2015/10/14
法務部綜合規劃司,行政院施政報告法務部區塊(歷年),720,58,,2015/10/07
法務部廉政署,法務部廉政署年度工作報告(按年),780,99,,2015/10/08
法務部矯正署,法務部矯正署分決算(按年),882,116,,2015/10/12
法務部法律事務司,法務部財團法人法草案（歷次版本）,"3,808",815,100,2015/10/14
法務部法律事務司,法務部行政罰法諮詢小組會議紀錄（歷次）,"1,345",338,,2015/10/14
法務部法制司,兩公約歷史文獻回顧,666,51,,2015/10/14
法務部法律事務司,法務部個人資料保護專區「個資法問與答」(依年季分),"1,021",220,80,2015/10/14
法務部法制司,法務部人權秘笈,863,188,,2015/10/14
法務部法制司,貝爾格勒原則,824,50,,2015/10/14
法務部矯正署,法務部矯正署預算案(按年),"1,017",212,,2015/10/12
法務部法制司,世界人權宣言,673,37,,2015/10/14
役政署,內政部役政署辦理政策宣導相關廣告執行情形表,582,70,,2015/10/07
役政署,廉政會報會議紀錄,"1,032",50,,2015/10/07
法務部保護司,法務部補助辦理法律宣導、法律扶助及法律服務等司法保護業務(每年),743,99,,2015/10/15
法務部矯正署,法務部矯正署法定預算(按年),786,109,,2015/10/12
法務部會計處,法務部矯正機關作業基金會計月報(按月),"1,171",886,100,2015/10/08
法務部會計處,法務部矯正機關作業基金預算（按年）,"1,380",694,,2015/10/08
內政部建築研究所,內政部建築研究所風雨風洞實驗室常見問題與解答,688,32,,2015/10/07
法務部矯正署,法務部矯正署及所屬單位決算(按年),788,65,,2015/10/12
內政部建築研究所,內政部建築研究所風雨實驗室設備,622,31,,2015/10/07
法務部矯正署,法務部矯正署及所屬單位法定預算(按年),806,143,,2015/10/12
內政部建築研究所,內政部建築研究所風洞實驗室設備,"1,517",59,,2015/10/07
內政部建築研究所,內政部建築研究所風雨風洞實驗室歷年研究,724,39,,2015/10/07
內政部建築研究所,內政部建築研究所防火實驗中心專利,780,44,80,2015/10/07
內政部建築研究所,內政部建築研究所防火實驗中心研究文獻,640,32,,2015/10/07
內政部建築研究所,內政部建築研究所防火實驗中心參訪紀錄,656,37,,2015/10/07
法務部矯正署,法務部矯正署及所屬單位預算案(按年),904,187,,2015/10/12
法務部會計處,法務部會計處重要措施-辦理「作業基金會計人員業務研習班」實施計畫(按年),684,26,,2015/10/08
內政部建築研究所,內政部建築研究所防火實驗中心儀器介紹,661,32,,2015/10/07
內政部建築研究所,內政部建築研究所防火實驗中心問答集,603,45,,2015/10/07
法務部法律事務司,個人資料保護法宣導資料,"1,416",308,80,2015/10/14
法務部法律事務司,繼承法宣導摺頁Ｑ＆Ａ,624,41,,2015/10/14
法務部法律事務司,國家賠償法修正草案,"2,086",322,,2015/10/14
衛生福利部中央健康保險署,"跨院所門診同藥理用藥日數重疊率-抗思覺失調症 (西醫基層總額指標)",595,25,,2015/11/23
衛生福利部中央健康保險署,"抗生素使用率 (西醫基層總額指標)",909,117,,2015/11/23
衛生福利部中央健康保險署,"同院所門診同藥理用藥日數重疊率-安眠鎮靜 (西醫基層總額指標)",689,49,,2015/11/23
衛生福利部中央健康保險署,"同院所門診同藥理用藥日數重疊率-抗思覺失調症 (西醫基層總額指標)",588,29,,2015/11/23
衛生福利部中央健康保險署,"同院所門診同藥理用藥日數重疊率-抗憂鬱症 (西醫基層總額指標)",651,31,,2015/11/23
衛生福利部中央健康保險署,"同院所門診同藥理用藥日數重疊率-降血壓 (口服) (西醫基層總額指標)",591,35,,2015/11/23
衛生福利部中央健康保險署,"同院所門診同藥理用藥日數重疊率-降血糖 (西醫基層總額指標)",615,25,,2015/11/23
衛生福利部中央健康保險署,"同院所門診同藥理用藥日數重疊率-降血脂 (口服) (西醫基層總額指標)",621,19,,2015/11/23
衛生福利部中央健康保險署,"就診後同日於同院所再次就診率 (西醫基層總額指標)",750,32,,2015/11/23
衛生福利部中央健康保險署,"糖尿病病人醣化血紅素（HbA1c）執行率 (西醫基層總額指標)","1,162",127,,2015/11/23
衛生福利部中央健康保險署,"跨院所門診同藥理用藥日數重疊率-安眠鎮靜 (西醫基層總額指標)",703,38,,2015/11/23
衛生福利部中央健康保險署,"跨院所門診同藥理用藥日數重疊率-抗憂鬱症 (西醫基層總額指標)",903,43,,2015/11/23
衛生福利部中央健康保險署,"跨院所門診同藥理用藥日數重疊率-降血糖 (西醫基層總額指標)",773,31,,2015/11/23
衛生福利部中央健康保險署,"跨院所門診同藥理用藥日數重疊率-降血脂 (口服) (西醫基層總額指標)",691,24,,2015/11/23
法務部會計處,法務部公務預算（按年）,"1,688",765,,2015/10/08
法務部調查局,法務部調查局10萬以上採購案件統計,"1,281",187,,2015/10/14
最高檢察署,最高法院檢察署104年採購案,"1,006",504,80,2015/10/15
法務部矯正署,法務部矯正署104年會計報告(按月),779,259,,2015/10/12
法務部會計處,法務部單位決算(按年),922,298,,2015/10/08
最高檢察署,最高法院檢察署104年大事記(按月),811,173,,2015/10/08
最高檢察署,最高法院檢察署103年採購案,684,141,,2015/10/15
法務部調查局,法務部調查局歸檔案件統計,765,160,100,2015/10/14
法務部矯正署,法務部矯正署及所屬單位104年會計報告(按月),787,203,,2015/10/12
國防部,國軍營舍及設施改建基金會計月報,"1,066",182,,2015/10/08
國立臺灣科學教育館,國立臺灣科學教育館104年度法定預算,"1,192",116,,2015/10/08
嘉義縣社會局,嘉義縣身心障礙福利機構概況,773,58,100,2017/06/29
嘉義縣社會局,嘉義縣辦理急難救助概況,754,32,100,2017/06/29
雲林縣政府,雲林縣政府暨所轄鄉鎮市公所公共債務,"1,975","1,191",,2015/10/08
法務部秘書處,法務部採購稽核小組稽核監督案件情形統計表（每半年）,"1,113",271,,2015/10/12
法務部秘書處,法務部施工查核小組施工查核情形統計表（每半年）,753,159,,2015/10/12
彰化縣政府財政處,彰化縣政府公共債務,"1,191",331,,2016/01/13
衛生福利部社會及家庭署,衛生福利部社會及家庭署104年度9月份會計月報,590,17,,2015/11/09
法務部秘書處,法務部及所屬機關績優工友獲選人員名單（按年）,670,35,,2015/10/12
法務部秘書處,法務部及所屬工級人員、駐衛警預算員額表（按年）,795,54,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「非定罪之犯罪所得沒收：借鏡德國法制」,828,44,,2015/11/08
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「我國藥物安全管理法制與刑事規制現況之探討」,644,24,,2015/11/08
法務部秘書處,法務部暨所屬機關車輛數量統計表（按年）,829,70,,2015/10/12
法務部保護司,財團法人福建更生保護會年度決算書,767,28,,2015/10/12
教育部,教育部政府資料開放諮詢小組會議紀錄,"1,951",380,100,2015/10/12
法務部保護司,財團法人臺灣更生保護會年度決算書,595,19,,2015/10/12
法務部保護司,財團法人臺灣更生保護會實地查核及評鑑報告(按年),632,69,,2015/10/12
法務部矯正署,矯正署臺南少年觀護所104年會計報告(按月),"1,310",360,,2015/10/12
法務部矯正署,矯正署臺南少年觀護所預算案(按年),798,52,,2015/10/12
法務部矯正署,矯正署臺南少年觀護所法定預算(按年),577,47,,2015/10/12
法務部矯正署,矯正署臺南少年觀護所分決算(按年),722,37,,2015/10/12
法務部法制司,聯合國人權教育訓練講義:人權與執法－警察人權培訓手冊,623,33,,2015/10/14
法務部法制司,聯合國人權教育訓練講義:國際人權標準與執法－警察使用的人權袖珍手冊,598,36,,2015/10/14
法務部矯正署,矯正署彰化看守所預算案(按年),784,121,,2015/10/12
法務部矯正署,矯正署彰化少年觀護所預算案(按年),629,35,,2015/10/12
法務部矯正署,矯正署彰化看守所法定預算(按年),717,33,,2015/10/12
法務部矯正署,矯正署彰化少年觀護所法定預算(按年),699,30,,2015/10/12
法務部矯正署,矯正署彰化看守所分決算(按年),633,55,,2015/10/12
法務部矯正署,矯正署彰化少年觀護所分決算(按年),667,27,,2015/10/12
法務部矯正署,矯正署明德外役監獄預算案(按年),625,43,,2015/10/12
法務部矯正署,矯正署明德外役監獄法定預算(按年),614,60,,2015/10/12
法務部矯正署,矯正署明德外役監獄104年會計報告(按月),714,286,,2015/10/12
法務部矯正署,矯正署明德外役監獄分決算(按年),616,25,,2015/10/12
法務部矯正署,矯正署桃園女子監獄104年會計報告(按月),942,353,,2015/10/14
法務部矯正署,矯正署桃園女子監獄預算案(按年),547,22,,2015/10/14
法務部矯正署,矯正署誠正中學104年會計報告（按月）,648,232,,2015/10/16
法務部矯正署,矯正署屏東監獄104年會計報告(按月),770,143,100,2015/10/14
法務部矯正署,矯正署臺東監獄103年度決算書(按年),584,17,,2015/10/12
法務部矯正署,矯正署臺東看守所103年度決算書(按年),573,16,,2015/10/12
法務部矯正署,矯正署桃園監獄104年度會計報告(按月),689,231,,2015/10/12
法務部矯正署,矯正署臺東少年觀護所103年度決算書(按年),597,13,,2015/10/12
法務部矯正署,矯正署新竹監獄預算案(按年),670,63,,2015/10/16
法務部矯正署,矯正署臺東監獄105年度預算案(按年),498,32,,2015/10/12
法務部矯正署,矯正署桃園看守所104年度會計報告(按月),663,138,,2015/10/12
法務部矯正署,矯正署屏東監獄預算案(按年),824,78,100,2015/10/14
法務部矯正署,矯正署新竹監獄法定預算(按年),659,98,,2015/10/16
法務部矯正署,矯正署新竹監獄分決算(按年),631,58,,2015/10/16
法務部矯正署,矯正署臺東看守所105年度預算案(按年),541,28,,2015/10/12
法務部矯正署,矯正署臺東少年觀護所105年度預算案(按年),562,21,,2015/10/12
基隆市政府財政處,基隆市政府公共債務訊息,"1,479",163,100,2016/01/14
法務部矯正署,矯正署臺東監獄104年會計報告(按月),558,68,,2015/10/12
基隆市政府財政處,基隆市政府最新公共債務訊息,"1,947",209,100,2015/10/12
法務部矯正署,矯正署臺東看守所104年會計報告(按月),591,71,,2015/10/12
法務部矯正署,矯正署臺東少年觀護所104年會計報告(按月),660,95,,2015/10/12
法務部矯正署,矯正署桃園少年輔育院104年會計報告(按月),796,264,,2016/01/14
法務部矯正署,矯正署東成技能訓練所104年會計報告(按月),816,219,,2015/10/12
法務部矯正署,矯正署澎湖監獄104年會計報告(按月),794,100,,2015/10/12
法務部矯正署,矯正署花蓮監獄104年會計報告(按月),665,288,,2015/10/12
法務部矯正署,法務部矯正署嘉義監獄預算案(按年),564,36,100,2015/10/12
法務部矯正署,矯正署東成技能訓練所預算案(按年),607,45,,2015/10/12
法務部矯正署,矯正署及所屬高雄看守所決算書(XML)(按年),505,24,100,2015/10/12
法務部矯正署,矯正署高雄看守所分決算(XML)(按年),519,21,,2015/10/14
法務部矯正署,矯正署嘉義監獄法定預算(按年),660,35,,2015/10/16
法務部矯正署,矯正署誠正中學分決算(按年),636,24,,2015/10/16
法務部矯正署,矯正署及所屬機關高雄看守所預算案(XML)(按年),617,90,,2015/10/12
法務部矯正署,矯正署嘉義監獄分決算(按年),549,19,,2015/10/16
法務部矯正署,矯正署新店戒治所分決算(按年),594,15,,2015/10/14
法務部矯正署,矯正署嘉義監獄104年會計報告(按月),762,264,,2015/10/16
法務部矯正署,矯正署高雄看守所104年度會計報告(按月),538,21,,2015/10/12
法務部矯正署,矯正署東成技能訓練所分決算(按年),629,22,,2015/10/12
法務部矯正署,矯正署澎湖監獄預算案(按年),582,30,,2015/10/12
法務部矯正署,矯正署桃園少年觀護所104年會計報告(按月),654,319,,2015/10/12
法務部矯正署,矯正署花蓮監獄分決算(按年),570,31,,2015/10/12
法務部矯正署,矯正署泰源技能訓練所104年會計報告(按月),623,113,,2015/11/09
法務部矯正署,矯正署臺北少年觀護所預算案(按年),576,53,,2015/10/12
法務部矯正署,矯正署花蓮監獄預算案(按年),603,44,,2015/10/12
法務部矯正署,矯正署桃園少年輔育院分決算(按年),572,20,,2015/10/12
法務部矯正署,矯正署臺北監獄預算案(按年),645,54,,2015/10/12
法務部矯正署,矯正署臺中戒治所預算案(按年),690,49,,2015/10/12
法務部矯正署,矯正署臺北少年觀護所分決算(按年),612,73,,2015/10/12
法務部矯正署,矯正署臺北監獄法定預算(按年),661,47,,2015/10/12
法務部矯正署,矯正署臺北少年觀護所法定預算(按年),593,63,,2015/10/12
法務部矯正署,矯正署新店戒治所預算案(按年),602,45,,2015/10/14
法務部矯正署,矯正署臺北監獄分決算(按年),940,99,,2015/10/12
法務部秘書處,法務部及所屬機關綠色採購執行率(按年),628,42,,2015/10/14
法務部保護司,財團法人更生保護會政府遴(核)派董事長公開資訊,601,21,,2015/10/12
法務部矯正署,矯正署臺中戒治所法定預算(按年),705,31,,2015/10/12
法務部矯正署,矯正署新竹少年觀護所104年會計報告(按月),563,99,,2015/12/22
法務部矯正署,矯正署澎湖監獄法定預算(按年),602,52,,2015/10/12
法務部矯正署,矯正署新店戒治所法定預算(按年),609,23,,2015/10/14
法務部矯正署,矯正署臺北少年觀護所104年會計報告(按月),634,203,,2015/10/14
法務部矯正署,矯正署桃園少年輔育院預算案(按年),581,47,,2015/10/12
法務部矯正署,矯正署桃園監獄預算案(按年),576,77,,2015/10/12
法務部矯正署,矯正署澎湖監獄分決算(按年),551,11,,2015/10/12
法務部矯正署,矯正署桃園少年輔育院法定預算(按年),590,24,,2015/10/12
法務部矯正署,矯正署金門監獄預算案(按年),528,39,,2015/10/14
法務部秘書處,法務部及所屬機關優先採購身心障礙福利機構物品及服務執行成果(按年),655,77,,2015/10/14
法務部矯正署,矯正署新店戒治所104年會計報告(按月),748,212,,2015/10/14
法務部矯正署,矯正署屏東少年觀護所104年會計月報(按月),726,306,,2015/10/12
法務部矯正署,矯正署屏東監獄法定預算(按年),594,33,100,2015/10/14
法務部秘書處,法務部辦理逾十萬元採購案件統計(按月),"1,062",558,,2015/10/14
法務部矯正署,矯正署屏東看守所104年會計月報(按月),726,263,,2015/10/12
法務部矯正署,矯正署桃園看守所預算案(按年),543,62,,2015/10/12
法務部矯正署,矯正署泰源技能訓練所預算案(按年),572,21,,2015/10/12
法務部矯正署,矯正署屏東監獄分決算(按年),605,27,20,2015/10/14
法務部矯正署,矯正署桃園少年觀護所預算案(按年),607,48,,2015/10/12
法務部矯正署,矯正署宜蘭監獄預算案(按年),552,35,,2015/10/12
法務部秘書處,法務部及所屬機關節能減碳績效(按年),603,44,,2015/10/14
法務部矯正署,矯正署金門看守所預算案(按年),540,34,,2015/10/14
法務部矯正署,矯正署宜蘭監獄法定預算案(按年),754,92,,2015/10/12
法務部秘書處,法務部節能減碳績效(按月),"1,332",495,,2015/10/14
臺灣新竹地方法院,臺灣新竹地方法院104年9月會計月報,580,12,,2015/10/12
法務部矯正署,矯正署宜蘭監獄104年度會計月報(按月),643,198,,2015/10/12
法務部矯正署,矯正署屏東少年觀護所分決算(按年),600,31,,2015/10/12
法務部矯正署,矯正署彰化少年輔育院預算案(按年),603,60,,2015/10/20
法務部矯正署,矯正署屏東看守所分決算(按年),572,19,,2015/10/12
法務部矯正署,矯正署桃園監獄法定預算(按年),745,51,,2015/10/12
法務部矯正署,矯正署泰源技能訓練所法定預算(按年),550,22,,2015/11/09
法務部矯正署,矯正署宜蘭監獄分決算案(按年),588,30,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「高風險社區犯罪人管理之探討－英國模式與臺灣經驗」,753,23,,2015/10/12
法務部矯正署,矯正署屏東少年觀護所預算案(按年),575,55,,2015/10/12
法務部矯正署,矯正署桃園看守所法定預算(按年),700,34,,2015/10/12
法務部矯正署,矯正署屏東少年觀護所法定預算(按年),574,34,,2015/10/12
法務部矯正署,矯正署屏東看守所預算案(按年),684,23,,2015/10/12
法務部矯正署,矯正署桃園少年觀護所法定預算(按年),645,44,,2015/10/12
法務部矯正署,矯正署屏東看守所法定預算(按年),625,53,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「初次毒品施用者個人特性與再犯毒品罪之關聯」,"1,022",41,,2015/10/12
法務部矯正署,矯正署泰源技能訓練所分決算(按年),703,21,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「公務人員貪污犯罪原因及其防治策略之研究」,860,29,,2015/10/12
法務部矯正署,矯正署桃園監獄分決算(按年),598,19,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「海峽兩岸網路智慧財產犯罪之域外犯的處罰--兼論兩岸刑事司法互助之突破及創新」,683,26,,2015/10/12
法務部矯正署,矯正署高雄第二監獄107年度會計報告(按月),728,192,,2015/11/03
法務部矯正署,矯正署花蓮看守所會計報告(XML)(按月),618,224,,2015/10/14
法務部矯正署,矯正署桃園看守所分決算(按年),568,15,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「幫派成員中止犯罪生涯之研究」,650,24,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「我國性侵害犯刑後強制治療之檢討」,"1,001",49,,2015/10/12
法務部矯正署,矯正署彰化少年輔育院分決算(按年),518,27,,2015/10/16
法務部矯正署,矯正署彰化少年輔育院法定預算(按年),684,42,,2015/10/16
法務部矯正署,矯正署高雄第二監獄分決算(按年),652,23,,2015/11/03
法務部矯正署,矯正署臺北女子看守所104年會計報告(按月),665,171,,2015/10/12
法務部矯正署,矯正署誠正中學預算案(按年),515,76,,2015/10/16
法務部矯正署,矯正署高雄第二監獄法定預算(按年),589,28,,2015/11/03
法務部矯正署,矯正署綠島監獄預算案(按年),555,32,,2015/10/12
法務部矯正署,矯正署臺北看守所分決算(按年),830,44,,2015/10/12
法務部矯正署,矯正署高雄第二監獄預算案(按年),538,19,,2015/11/03
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「婚姻暴力施暴者與受暴者互動歷程之研究」,582,15,,2015/10/12
法務部矯正署,矯正署臺北看守所預算案(按年),946,107,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「婚姻暴力高危機被害人的司法安全維護機制與政策」,607,18,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「新住民遷徙後的適應問題對台灣社會安全的影響及因應策略初探」,798,48,,2015/10/12
法務部矯正署,矯正署澎湖看守所法定預算(按年),664,208,,2015/10/12
法務部矯正署,矯正署誠正中學法定預算(按年),505,43,,2015/10/16
法務部矯正署,矯正署花蓮監獄法定預算(按年),685,115,,2015/10/12
法務部矯正署,矯正署臺北看守所法定預算(按年),661,49,,2015/10/12
法務部矯正署,矯正署綠島監獄104年會計報告(按月),967,272,,2015/10/12
法務部矯正署,矯正署彰化少年輔育院104年會計報告(按月),"1,054",258,,2015/10/16
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「犯罪報導對刑事政策與司法人權之影響」,974,48,,2015/10/12
法務部矯正署,矯正署臺北看守所會計報告(按月),734,167,,2015/10/12
法務部矯正署,矯正署桃園少年觀護所分決算(按年),565,17,,2015/10/12
法務部矯正署,矯正署澎湖看守所預算案(按年),614,59,,2015/10/12
法務部矯正署,矯正署花蓮看守所預算案(XML)(按年),521,47,,2015/10/14
法務部矯正署,矯正署花蓮看守所法定預算(XML)(按年),509,28,,2015/10/14
法務部矯正署,矯正署澎湖看守所分決算(按年),640,27,,2015/10/12
法務部矯正署,矯正署澎湖看守所104年會計報告(按月),724,295,,2015/10/12
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「強化鑑識科學-評估建置國家級鑑識科學中心和實驗室之研究」,659,36,,2015/10/12
法務部矯正署,"矯正署花蓮看守所分決算(XML)(按年) ",505,21,,2015/10/14
經濟部,經濟部刊登行政院公報作業流程,"1,031",44,,2015/11/10
法務部司法官學院,刑事政策與犯罪研究論文集(17)-「我國電子腳鐐發展之省思-社會排除及控制網絡擴張之探究」,803,28,,2015/10/12
經濟部,經濟部刊登行政院公報應附(書)函稿檢核表,"1,168",96,,2015/11/10
法務部司法官學院,刑事政策與犯罪研究論文集(16)-「對貪污揭弊者保護法制之檢討-以證人保護法為說明」,756,28,,2015/10/12
法務部矯正署,矯正署連江看守所預算案(按年),537,38,,2015/10/14
法務部矯正署,矯正署綠島監獄法定預算(按年),576,32,,2015/10/12
